Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6480781,Open,Andre Agassi,"Agassi, Andre","J.R. Moehringer, Андре Агаси","=""0307268195""","=""9780307268198""",4,4.32,Knopf,Hardcover,388,2009,2009,2026/03/18,2026/03/18,,,read,,,,1,0
16884,The Making of the Atomic Bomb,Richard Rhodes,"Rhodes, Richard",,"=""0684813785""","=""9780684813783""",0,4.40,Simon & Schuster,Paperback,886,1995,1986,,2026/03/07,to-read,to-read (#327),to-read,,,,0,0
4772110,Nocturnes: Five Stories of Music and Nightfall,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""0307397874""","=""9780307397874""",3,3.51,Knopf Canada,Hardcover,221,2009,2009,2026/03/01,2025/02/24,,,read,,,,1,0
43211952,Haben: The Deafblind Woman Who Conquered Harvard Law,Haben Girma,"Girma, Haben",,"=""1478992816""","=""9781478992813""",0,4.19,Twelve,Audible Audio,288,2019,2019,,2026/02/25,to-read,to-read (#326),to-read,,,,0,0
25814544,Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,Jake Knapp,"Knapp, Jake","John Zeratsky, Braden Kowitz","=""""","=""9781501121746""",0,4.18,Simon & Schuster,Hardcover,274,2016,2016,2023/01/25,2023/01/25,"ux, retired","ux (#18), retired (#1)",read,,,,1,0
13436116,Lean UX: Applying Lean Principles to Improve User Experience,Jeff Gothelf,"Gothelf, Jeff",Josh Seiden,"=""1449311652""","=""9781449311650""",4,3.99,O'Reilly Media,Hardcover,148,2013,2012,2023/01/01,2022/03/31,ux,ux (#9),read,,,,1,0
24861842,The Food Lab: Better Home Cooking Through Science,J. Kenji López-Alt,"López-Alt, J. Kenji",,"=""0393081087""","=""9780393081084""",5,4.32,Norton,Hardcover,958,2015,2015,2023/02/11,2021/12/06,,,read,,,,1,0
469571,"All the Pretty Horses (The Border Trilogy, #1)",Cormac McCarthy,"McCarthy, Cormac",,"=""0679744398""","=""9780679744399""",4,4.06,Vintage,Paperback,302,1993,1992,2022/07/08,2022/06/22,,,read,,,,1,0
57423429,1000 Years of Joys and Sorrows: A Memoir,Weiwei Ai,"Ai, Weiwei",,"=""0553419463""","=""9780553419467""",4,4.23,Crown Publishing Group,Hardcover,400,2021,2021,2022/02/20,2022/02/16,,,read,,,,1,0
57933306,Stolen Focus: Why You Can't Pay Attention— and How to Think Deeply Again,Johann Hari,"Hari, Johann",,"=""0593138511""","=""9780593138519""",3,4.22,Crown,Hardcover,357,2022,2022,2022/01/01,2022/04/24,,,read,,,,1,0
55360284,Taste: My Life Through Food,Stanley Tucci,"Tucci, Stanley",,"=""1982168013""","=""9781982168018""",4,4.19,Gallery Books,Hardcover,291,2021,2021,2022/01/01,2022/05/24,,,read,,,,1,0
16101059,Someone Could Get Hurt: A Memoir of Twenty-First-Century Parenthood,Drew Magary,"Magary, Drew",,"=""159240832X""","=""9781592408320""",4,3.90,Gotham,Hardcover,245,2013,2013,2021/12/30,2021/12/30,,,read,,,,1,0
66354,Flow: The Psychology of Optimal Experience,Mihály Csíkszentmihályi,"Csíkszentmihályi, Mihály",,"=""""","=""""",3,4.11,Harper Perennial,Paperback,303,1990,1990,2021/12/22,2021/07/25,,,read,,,,1,0
38122464,Ten Arguments for Deleting Your Social Media Accounts Right Now,Jaron Lanier,"Lanier, Jaron",,"=""125019668X""","=""9781250196682""",2,3.58,Henry Holt and Co.,Hardcover,146,2018,2018,2021/12/13,2021/11/21,,,read,,,,1,0
3296910,Web Form Design: Filling in the Blanks,Luke Wroblewski,"Wroblewski, Luke",,"=""1933820241""","=""9781933820248""",4,4.04,Rosenfeld Media,Paperback,226,2008,2008,2021/09/18,2021/09/26,ux,ux (#20),read,,,,2,0
4979,A Man Without a Country,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",Daniel Simon,"=""081297736X""","=""9780812977363""",5,4.10,Random House Trade Paperbacks,Paperback,145,2007,2005,2021/08/01,2021/08/12,,,read,,,,1,0
55277893,Press Reset: Ruin and Recovery in the Video Game Industry,Jason Schreier,"Schreier, Jason",,"=""1538735490""","=""9781538735497""",3,4.05,Grand Central Publishing,Paperback,301,2021,2021,2026/02/14,2021/07/18,,,read,,,,1,0
214151403,Click: How to Make What People Want,Jake Knapp,"Knapp, Jake",John Zeratsky,"=""1668072114""","=""9781668072110""",3,4.09,Avid Reader Press / Simon & Schuster,Hardcover,240,2025,,2026/02/02,2026/02/02,,,read,,,,1,0
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",4,4.30,Houghton Mifflin,Paperback,366,2002,1937,2026/01/31,2026/01/31,,,read,,,,1,0
3525894,The Unlikely Disciple: A Sinner's Semester at America's Holiest University,Kevin Roose,"Roose, Kevin",,"=""044617842X""","=""9780446178426""",0,3.98,Grand Central Publishing (NY/Boston),Hardcover,324,2009,2009,,2026/01/23,to-read,to-read (#325),to-read,,,,0,0
214152261,Flesh,David Szalay,"Szalay, David",,"=""198212279X""","=""9781982122799""",5,3.74,Scribner,Hardcover,368,2025,2025,2026/01/18,2026/01/17,,,read,,,,1,0
1971304,City of Thieves,David Benioff,"Benioff, David",,"=""0670018708""","=""9780670018703""",3,4.30,Viking / Penguin,Hardcover,258,2008,2008,2023/06/23,2023/07/09,,,read,,,,1,0
60965426,The Creative Act: A Way of Being,Rick Rubin,"Rubin, Rick",,"=""0593652886""","=""9780593652886""",2,3.95,Penguin Press,Hardcover,406,2023,2023,2023/07/25,2023/03/21,,,read,,,,1,0
13574985,Design Is a Job,Mike Monteiro,"Monteiro, Mike",Erik Spiekermann,"=""1937557049""","=""9781937557041""",3,4.22,A Book Apart,Paperback,135,2012,2012,2023/12/18,2022/07/04,ux,ux (#16),read,,,,1,0
58733657,After Steve: How Apple Became a Trillion-Dollar Company and Lost Its Soul,Tripp Mickle,"Mickle, Tripp",,"=""0063009811""","=""9780063009813""",4,4.09,William Morrow,Hardcover,512,2022,2022,2023/09/11,2023/07/25,,,read,,,,1,0
38393096,Conversational Design,Erika Hall,"Hall, Erika",John Maeda,"=""1937557677""","=""9781937557676""",5,4.11,A Book Apart,Paperback,130,2018,,2023/10/01,2023/01/25,ux,ux (#11),read,,,,1,0
18869972,The House on the Strand,Daphne du Maurier,"Maurier, Daphne du",,"=""0316252999""","=""9780316252997""",4,3.82,"Little, Brown and Company",Hardcover,316,2013,1969,2024/01/01,2024/01/20,,,read,,,,1,0
44029589,How to Speak Machine: Laws of Design for a Computational Age,John Maeda,"Maeda, John",,"=""0241976634""","=""9780241976630""",5,3.70,Portfolio Penguin,Paperback,240,2019,,2024/03/16,2024/02/28,ux,ux (#23),read,,,,1,0
102188215,Cinema Speculation: An Entertaining Dive into Film History from the Legendary Writer and Director,Quentin Tarantino,"Tarantino, Quentin",,"=""0063112574""","=""9780063112575""",4,4.04,Harper Perennial,Paperback,400,2024,2022,2024/03/24,2024/02/28,,,read,,,,1,0
801678,"Mrs. Malory Investigates (Mrs. Malory Mysteries, #1)",Hazel Holt,"Holt, Hazel",,"=""0451402693""","=""9780451402691""",3,3.84,Onyx,Mass Market Paperback,224,1991,1989,2024/04/01,2024/05/04,,,read,,,,1,0
56212912,Out of Office: The Big Problem and Bigger Promise of Working from Home,Charlie Warzel,"Warzel, Charlie",Anne Helen Petersen,"=""0593320093""","=""9780593320099""",3,3.72,Knopf,Hardcover,272,2021,2021,2024/04/06,2022/01/11,,,read,,,,1,0
30358505,The Refugees,Viet Thanh Nguyen,"Nguyen, Viet Thanh",,"=""0802126391""","=""9780802126399""",3,3.86,Grove Press,Hardcover,209,2017,2017,2024/05/20,2024/05/20,,,read,,,,1,0
136342721,Unmasking AI: My Mission to Protect What Is Human in a World of Machines,Joy Buolamwini,"Buolamwini, Joy",,"=""0593241835""","=""9780593241837""",3,4.10,Random House,Hardcover,336,2023,,2024/06/09,2024/03/16,,,read,,,,1,0
41573546,The Ash Family,Molly Dektar,"Dektar, Molly",,"=""150114488X""","=""9781501144882""",3,3.22,Simon & Schuster,Kindle Edition,353,2019,2019,2024/07/04,2024/07/04,,,read,,,,1,0
2459785,"In the Woods (Dublin Murder Squad, #1)",Tana French,"French, Tana",,"=""""","=""""",4,3.78,Penguin Books,Paperback,448,2008,2007,2024/07/12,2024/07/12,,,read,,,,1,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",3,4.11,Knopf,Hardcover,399,2022,2022,2024/07/27,2023/04/26,,,read,,,,1,0
207567968,"Play Nice: The Rise, Fall, and Future of Blizzard Entertainment",Jason Schreier,"Schreier, Jason",,"=""1538725428""","=""9781538725429""",4,4.17,Grand Central Publishing,Hardcover,384,2024,2024,2024/10/12,2024/10/12,,,read,,,,1,0
3985,The Amazing Adventures of Kavalier & Clay,Michael Chabon,"Chabon, Michael",,"=""0312282990""","=""9780312282998""",5,4.19,Picador USA,Paperback,639,2001,2000,2024/11/04,2024/10/12,,,read,,,,1,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",4,3.74,Alfred A. Knopf,Hardcover,303,2021,2021,2024/11/17,2024/11/17,,,read,,,,1,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""1400078776""","=""9781400078776""",4,3.85,Vintage Books ,Paperback,288,2010,2005,2024/12/18,2024/07/15,,,read,,,,1,0
28922,An Artist of the Floating World,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""0571225365""","=""9780571225361""",4,3.78,Faber and Faber,Paperback,206,2005,1986,2024/12/31,2024/12/31,,,read,,,,1,0
5826,Bel Canto,Ann Patchett,"Patchett, Ann",,"=""""","=""""",4,3.94,Harper Perennial,Paperback,318,2023,2001,2025/01/15,2025/01/15,,,read,,,,1,0
207298822,What I Ate in One Year (And Related Thoughts),Stanley Tucci,"Tucci, Stanley",,"=""1668055686""","=""9781668055687""",3,3.82,Gallery Books,Hardcover,350,2024,2024,2025/01/21,2025/01/21,,,read,,,,1,0
2175,Madame Bovary,Gustave Flaubert,"Flaubert, Gustave","Mark Overstall, Malcolm Bowie, Margaret Mauldon","=""0192840398""","=""9780192840394""",4,3.71,Oxford University Press,Paperback,329,2004,1856,2025/02/03,2025/02/03,,,read,,,,1,0
58662236,Small Things Like These,Claire Keegan,"Keegan, Claire",,"=""0802158749""","=""9780802158741""",3,4.08,Grove Press,Hardcover,118,2021,2021,2025/02/04,2025/02/04,,,read,,,,1,0
198678736,Co-Intelligence: Living and Working with AI,Ethan Mollick,"Mollick, Ethan",,"=""075356078X""","=""9780753560785""",3,3.94,Virgin Digital,Kindle Edition,243,2024,2024,2025/02/10,2025/01/26,,,read,,,,1,0
11138,Mere Christianity,C.S. Lewis,"Lewis, C.S.",,"=""0684823780""","=""9780684823782""",3,4.37,Touchstone Books,Paperback,191,1996,1952,2025/02/16,2025/02/16,,,read,,,,1,0
213034913,Source Code: My Beginnings,Bill  Gates,"Gates, Bill",,"=""059380158X""","=""9780593801581""",3,4.16,Knopf,Hardcover,336,2025,2025,2025/02/22,2025/01/30,,,read,,,,1,0
127305853,The Women,Kristin Hannah,"Hannah, Kristin",,"=""1250178630""","=""9781250178633""",3,4.59,St. Martin's Press,Hardcover,471,2024,2024,2025/03/01,2025/03/19,,,read,,,,1,0
22522805,The Buried Giant,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""030727103X""","=""9780307271037""",4,3.59,Alfred A. Knopf,Hardcover,317,2015,2015,2025/03/03,2025/02/24,,,read,,,,1,0
28686959,Based on a True Story: A Memoir,Norm Macdonald,"Macdonald, Norm",,"=""0812993624""","=""9780812993622""",3,4.03,Random House,Hardcover,256,2016,2016,2025/03/05,2024/11/23,,,read,,,,1,0
133518,The Things They Carried,Tim O'Brien,"O'Brien, Tim",,"=""0767902890""","=""9780767902892""",4,4.15,Broadway,Paperback,246,1998,1990,2025/03/26,2025/03/26,,,read,,,,1,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""0525562028""","=""9780525562023""",3,4.00,Penguin Press,Hardcover,246,2019,2019,2025/04/01,2025/04/01,,,read,,,,1,0
9597,Player Piano,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333781""","=""9780385333788""",3,3.91,Dial Press,Paperback,341,2006,1952,2025/04/26,2025/04/26,,,read,,,,1,0
7244,The Poisonwood Bible,Barbara Kingsolver,"Kingsolver, Barbara",,"=""0060786507""","=""9780060786502""",4,4.11,Harper Perennial Modern Classics,Paperback,546,2005,1998,2025/05/04,2025/02/10,,,read,,,,1,0
22155,Let My People Go Surfing: The Education of a Reluctant Businessman,Yvon Chouinard,"Chouinard, Yvon",,"=""0143037838""","=""9780143037835""",4,4.18,Penguin Books,Paperback,272,2006,2006,2025/05/18,2021/03/07,,,read,,,,1,0
37781,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"Achebe, Chinua",,"=""""","=""""",4,3.75,Anchor Books,Paperback,215,1994,1958,2025/05/29,2025/05/29,,,read,,,,1,0
60603268,A Dangerous Business,Jane Smiley,"Smiley, Jane",,"=""0525520333""","=""9780525520337""",3,3.17,Knopf,Hardcover,224,2022,2022,2025/06/08,2025/06/08,,,read,,,,1,0
5941114,"The Likeness (Dublin Murder Squad, #2)",Tana French,"French, Tana",,"=""0143115626""","=""9780143115625""",3,4.06,Penguin Books,Paperback,466,2009,2008,2025/06/25,2025/06/25,,,read,,,,1,0
54816562,"A Man Named Doll (The Doll Series, #1)",Jonathan Ames,"Ames, Jonathan",,"=""0316703656""","=""9780316703659""",3,3.71,Mulholland Books,Hardcover,224,2021,2021,2025/07/06,2025/07/06,,,read,,,,1,0
